X,Index,CHEMBL_ID,PUBCHEM_CID,IUPAC_Name,Original_SMILES,Original_InChi,Original_InChiKey,DSSTOX_SUBSTANCE_ID,CASRN,PREFERRED_NAME,Canonical_QSARr,InChI_Code_QSARr,InChIKey_QSARr,Salt_Solvent,Salt_Solvent_ID,QC_Level,CalculatedLogPapp,PappClass,Source,tr_tst,outliers,Envi.Che_CERAPP,Envi.Che_COMPARA,Envi.Che_CPDAT,Envi.Che_REFCHEMDB,Envi.Che_TSCA_ACTIVE_NCTI,overlap.lable
2597,Caco-4935,CHEMBL75|?|?,?,NA,CC(=O)N1CCN(CC1)C1C=CC(=CC=1)OC[C@@H]1CO[C@](CN2C=NC=C2)(O1)C1=CC=C(Cl)C=C1Cl,"InChI=1S/C26H28Cl2N4O4/c1-19(33)31-10-12-32(13-11-31)21-3-5-22(6-4-21)34-15-23-16-35-26(36-23,17-30-9-8-29-18-30)24-7-2-20(27)14-25(24)28/h2-9,14,18,23H,10-13,15-17H2,1H3/t23-,26-/m1/s1",XMAYWYJOQHXEEK-ZEQKJWHPSA-N,DTXSID7029879,65277-42-1,Ketoconazole,CC(=O)N1CCN(CC1)C1C=CC(=CC=1)OCC1COC(CN2C=NC=C2)(O1)C1=CC=C(Cl)C=C1Cl,"InChI=1S/C26H28Cl2N4O4/c1-19(33)31-10-12-32(13-11-31)21-3-5-22(6-4-21)34-15-23-16-35-26(36-23,17-30-9-8-29-18-30)24-7-2-20(27)14-25(24)28/h2-9,14,18,23H,10-13,15-17H2,1H3",XMAYWYJOQHXEEK-UHFFFAOYSA-N,<undefined>,0,High,-4.720398725,3,CHEMBL|Wang|Pham,1,1,N,Y,N,Y,N,N&Y&N&Y&N
2598,Caco-456,?,?,NA,CC1C=NC(=CN=1)C(=O)NCCC1C=CC(=CC=1)S(=O)(=O)NC(=O)NC1CCCCC1,"InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H,22,27)(H2,25,26,28)",ZJJXGWJIGJFDTL-UHFFFAOYSA-N,DTXSID0040676,29094-61-9,glipizide,CC1C=NC(=CN=1)C(=O)NCCC1C=CC(=CC=1)S(=O)(=O)NC(=O)NC1CCCCC1,"InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H,22,27)(H2,25,26,28)",ZJJXGWJIGJFDTL-UHFFFAOYSA-N,<undefined>,0,High,-4.7199999,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2599,Caco-125,?,?,NA,N[C@@H](CC1C=CC=CC=1)C(O)=O,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,DTXSID4040763|DTXSID9023463,63-91-2|150-30-1,l-phenylalanine,NC(CC1C=CC=CC=1)C(O)=O,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)",COLNVLDHVKWLRT-UHFFFAOYSA-N,<undefined>,0,High,-4.71948565,3,Wang|Pham,1,1,N,Y,Y,Y,Y,N&Y&Y&Y&Y
2609,Caco-149,?,?,NA,CC1=CN=C(NC(=O)C2=C(O)C3=CC=CC=C3S(=O)(=O)N2C)S1,"InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,18H,1-2H3,(H,15,16,19)",ZRVUJXDFFKFLMG-UHFFFAOYSA-N,DTXSID1020803,71125-38-7,meloxicam,CC1=CN=C(NC(=O)C2C(=O)C3C=CC=CC=3S(=O)(=O)N2C)S1,"InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,11H,1-2H3,(H,15,16,19)",ZAHQBPYQBHTECE-UHFFFAOYSA-N,<undefined>,0,High,-4.70793005,3,Wang|Pham,1,1,N,N,Y,Y,N,N&N&Y&Y&N
2615,Caco-411,?,?,NA,CN(C)CCC(C1=CC=CC=N1)C1C=CC(Br)=CC=1,"InChI=1S/C16H19BrN2/c1-19(2)12-10-15(16-5-3-4-11-18-16)13-6-8-14(17)9-7-13/h3-9,11,15H,10,12H2,1-2H3",ZDIGNSYAACHWNL-UHFFFAOYSA-N,DTXSID5022691,86-22-6,brompheniramine,CN(C)CCC(C1=CC=CC=N1)C1C=CC(Br)=CC=1,"InChI=1S/C16H19BrN2/c1-19(2)12-10-15(16-5-3-4-11-18-16)13-6-8-14(17)9-7-13/h3-9,11,15H,10,12H2,1-2H3",ZDIGNSYAACHWNL-UHFFFAOYSA-N,<undefined>,0,High,-4.7023638,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2620,Caco-543,?,?,NA,O=C1CCC(C(=O)N1)N1C(=O)C2=CC=CC=C2C1=O,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",UEJJHQNACJXSKW-UHFFFAOYSA-N,DTXSID9022524,50-35-1,thalidomide,O=C1CCC(C(=O)N1)N1C(=O)C2=CC=CC=C2C1=O,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",UEJJHQNACJXSKW-UHFFFAOYSA-N,<undefined>,0,High,-4.6999999,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2621,Caco-497,?,?,NA,CC(C)COC(=O)C1C(C2=CC=CC=C2[N+]([O-])=O)C(C(=O)OC)=C(C)NC=1C,"InChI=1S/C20H24N2O6/c1-11(2)10-28-20(24)17-13(4)21-12(3)16(19(23)27-5)18(17)14-8-6-7-9-15(14)22(25)26/h6-9,11,18,21H,10H2,1-5H3",VKQFCGNPDRICFG-UHFFFAOYSA-N,DTXSID0023371,63675-72-9,nisoldipine,CC(C)COC(=O)C1C(C2C=CC=CC=2[N+]([O-])=O)C(C(=O)OC)=C(C)N=C1C,"InChI=1S/C20H24N2O6/c1-11(2)10-28-20(24)17-13(4)21-12(3)16(19(23)27-5)18(17)14-8-6-7-9-15(14)22(25)26/h6-9,11,17-18H,10H2,1-5H3",PKICUDXEAPMDNG-UHFFFAOYSA-N,<undefined>,0,High,-4.6999999,3,Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
2641,Caco-4540,CHEMBL499|?,?,NA,CC(C)(C)NC[C@H](O)COC1=NSN=C1N1CCOCC1,"InChI=1S/C13H24N4O3S/c1-13(2,3)14-8-10(18)9-20-12-11(15-21-16-12)17-4-6-19-7-5-17/h10,14,18H,4-9H2,1-3H3/t10-/m0/s1",BLJRIMJGRPQVNF-JTQLQIEISA-N,DTXSID4023674,26839-75-8,(S)-Timolol,CC(C)(C)NCC(O)COC1=NSN=C1N1CCOCC1,"InChI=1S/C13H24N4O3S/c1-13(2,3)14-8-10(18)9-20-12-11(15-21-16-12)17-4-6-19-7-5-17/h10,14,18H,4-9H2,1-3H3",BLJRIMJGRPQVNF-UHFFFAOYSA-N,<undefined>,0,High,-4.69803,3,CHEMBL|Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
2644,Caco-5055,CHEMBL98883,?,NA,C[C@@H]1[C@@H]2CC3=CC=C(O)C=C3[C@@]1(C)CCN2CC=C,"InChI=1S/C17H23NO/c1-4-8-18-9-7-17(3)12(2)16(18)10-13-5-6-14(19)11-15(13)17/h4-6,11-12,16,19H,1,7-10H2,2-3H3/t12-,16+,17+/m1/s1",LGQCVMYAEFTEFN-DQYPLSBCSA-N,DTXSID90207344,58640-82-7,(+)-SKF 10047,CC1C2CC3=CC=C(O)C=C3C1(C)CCN2CC=C,"InChI=1S/C17H23NO/c1-4-8-18-9-7-17(3)12(2)16(18)10-13-5-6-14(19)11-15(13)17/h4-6,11-12,16,19H,1,7-10H2,2-3H3",LGQCVMYAEFTEFN-UHFFFAOYSA-N,<undefined>,NA,High,-4.694648631,3,CHEMBL,1,1,N,N,N,Y,N,N&N&N&Y&N
2651,Caco-1008,?,?,NA,CCOP(=O)(OC1C=CC(=CC=1)[N+]([O-])=O)OCC,"InChI=1S/C10H14NO6P/c1-3-15-18(14,16-4-2)17-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",WYMSBXTXOHUIGT-UHFFFAOYSA-N,DTXSID6024046,311-45-5,paraoxon,CCOP(=O)(OC1C=CC(=CC=1)[N+]([O-])=O)OCC,"InChI=1S/C10H14NO6P/c1-3-15-18(14,16-4-2)17-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",WYMSBXTXOHUIGT-UHFFFAOYSA-N,<undefined>,0,High,-4.6900001,3,Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2659,Caco-164,?,?,NA,ClC1=CC=C2NC3C=CC=CC=3C(=NC2=C1)N1CCNCC1,"InChI=1S/C17H17ClN4/c18-12-5-6-15-16(11-12)21-17(22-9-7-19-8-10-22)13-3-1-2-4-14(13)20-15/h1-6,11,19-20H,7-10H2",JNNOSTQEZICQQP-UHFFFAOYSA-N,DTXSID0042616,6104-71-8,n-desmethylclozapine,ClC1=CC=C2NC3C=CC=CC=3C(=NC2=C1)N1CCNCC1,"InChI=1S/C17H17ClN4/c18-12-5-6-15-16(11-12)21-17(22-9-7-19-8-10-22)13-3-1-2-4-14(13)20-15/h1-6,11,19-20H,7-10H2",JNNOSTQEZICQQP-UHFFFAOYSA-N,<undefined>,0,High,-4.6799998,3,Wang,1,1,Y,Y,N,Y,N,Y&Y&N&Y&N
2662,Caco-1134,?,?,NA,CN1C(=C(O)C2SC=CC=2S1(=O)=O)C(=O)NC1=CC=CC=N1,"InChI=1S/C13H11N3O4S2/c1-16-10(13(18)15-9-4-2-3-6-14-9)11(17)12-8(5-7-21-12)22(16,19)20/h2-7,17H,1H3,(H,14,15,18)",LZNWYQJJBLGYLT-UHFFFAOYSA-N,DTXSID8045486,59804-37-4,tenoxicam,CN1C(C(=O)NC2C=CC=CN=2)C(=O)C2SC=CC=2S1(=O)=O,"InChI=1S/C13H11N3O4S2/c1-16-10(13(18)15-9-4-2-3-6-14-9)11(17)12-8(5-7-21-12)22(16,19)20/h2-7,10H,1H3,(H,14,15,18)",OTGJPAOGHQFBMI-UHFFFAOYSA-N,<undefined>,0,High,-4.6786513,3,Wang|Pham,1,1,N,N,Y,Y,N,N&N&Y&Y&N
2682,Caco-171,?,?,NA,CN1CCN(CC1)C1C(F)=CC2=C3C=1OCC(C)N3C=C(C(O)=O)C2=O,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N,DTXSID3041085|DTXSID0041060,82419-36-1|100986-85-4,ofloxacin,CN1CCN(CC1)C1C(F)=CC2=C3C=1OCC(C)N3C=C(C(O)=O)C2=O,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",GSDSWSVVBLHKDQ-UHFFFAOYSA-N,<undefined>,0,High,-4.675056,3,Wang|Pham|Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2688,Caco-1011,?,?,NA,CC1NC(COCCN)=C(C(C=1C(=O)OC)C1=CC=CC=C1Cl)C(=O)OCC,"InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3",HTIQEAQVCYTUBX-UHFFFAOYSA-N,DTXSID7022596,88150-42-9,amlodipine,CC1=NC(COCCN)=C(C(C1C(=O)OC)C1C=CC=CC=1Cl)C(=O)OCC,"InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,16-17H,4,9-11,22H2,1-3H3",YMDXSGBNCBQYGC-UHFFFAOYSA-N,<undefined>,0,High,-4.6700001,3,Wang,1,1,N,N,Y,Y,N,N&N&Y&Y&N
2689,Caco-211,?,?,NA,NC1C=CC(=CC=1)S(=O)(=O)NC1=CC=CC=N1,"InChI=1S/C11H11N3O2S/c12-9-4-6-10(7-5-9)17(15,16)14-11-3-1-2-8-13-11/h1-8H,12H2,(H,13,14)",GECHUMIMRBOMGK-UHFFFAOYSA-N,DTXSID3026067,144-83-2,sulfapyridine,NC1C=CC(=CC=1)S(=O)(=O)NC1=CC=CC=N1,"InChI=1S/C11H11N3O2S/c12-9-4-6-10(7-5-9)17(15,16)14-11-3-1-2-8-13-11/h1-8H,12H2,(H,13,14)",GECHUMIMRBOMGK-UHFFFAOYSA-N,<undefined>,0,High,-4.67,3,Wang|Pham,1,1,Y,Y,Y,Y,Y,Y&Y&Y&Y&Y
2690,Caco-5105,CHEMBL1276946,?,NA,CC1=C2C(=CC(=O)N1CC1=CC=CC=N1)NN(C1=CC=CC=C1Cl)C2=O,"InChI=1S/C19H15ClN4O2/c1-12-18-15(10-17(25)23(12)11-13-6-4-5-9-21-13)22-24(19(18)26)16-8-3-2-7-14(16)20/h2-10,22H,11H2,1H3",DNKYHHFCPXKFIY-UHFFFAOYSA-N,DTXSID50588686,955272-06-7,"2-(2-Chlorophenyl)-4-methyl-5-[(pyridin-2-yl)methyl]-1H-pyrazolo[4,3-c]pyridine-3,6(2H,5H)-dione",CC1=C2C(CC(=O)N1CC1C=CC=CN=1)=NN(C1C=CC=CC=1Cl)C2=O,"InChI=1S/C19H15ClN4O2/c1-12-18-15(10-17(25)23(12)11-13-6-4-5-9-21-13)22-24(19(18)26)16-8-3-2-7-14(16)20/h2-9H,10-11H2,1H3",FZOLMEIKPRMWFF-UHFFFAOYSA-N,<undefined>,NA,High,-4.669586227,3,CHEMBL,1,1,N,N,N,Y,N,N&N&N&Y&N
2691,Caco-5106,CHEMBL1645462,?,NA,CC1=C2C(NC3=CC4C=NN(CC5=CC(F)=CC=C5)C=4C=C3)=NC=NN2C=C1NC(=O)OC[C@@H]1COCCN1,"InChI=1S/C27H27FN8O3/c1-17-23(34-27(37)39-15-22-14-38-8-7-29-22)13-36-25(17)26(30-16-32-36)33-21-5-6-24-19(10-21)11-31-35(24)12-18-3-2-4-20(28)9-18/h2-6,9-11,13,16,22,29H,7-8,12,14-15H2,1H3,(H,34,37)(H,30,32,33)/t22-/m0/s1",LUJZZYWHBDHDQX-QFIPXVFZSA-N,DTXSID60221714,714971-09-2,BMS-599626,CC1=C2C(NC3=CC4C=NN(CC5=CC(F)=CC=C5)C=4C=C3)=NC=NN2C=C1NC(=O)OCC1COCCN1,"InChI=1S/C27H27FN8O3/c1-17-23(34-27(37)39-15-22-14-38-8-7-29-22)13-36-25(17)26(30-16-32-36)33-21-5-6-24-19(10-21)11-31-35(24)12-18-3-2-4-20(28)9-18/h2-6,9-11,13,16,22,29H,7-8,12,14-15H2,1H3,(H,34,37)(H,30,32,33)",LUJZZYWHBDHDQX-UHFFFAOYSA-N,<undefined>,NA,High,-4.669586227,3,CHEMBL,1,1,N,N,N,Y,N,N&N&N&Y&N
2696,Caco-1525,?,?,NA,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1N=CN=C2NC=CC=12,"InChI=1S/C17H18N6/c18-7-5-15(12-3-1-2-4-12)23-10-13(9-22-23)16-14-6-8-19-17(14)21-11-20-16/h6,8-12,15H,1-5H2,(H,19,20,21)/t15-/m1/s1",HFNKQEVNSGCOJV-OAHLLOKOSA-N,DTXSID10240930,941678-49-5,ruxolitinib,N#CCC(C1CCCC1)N1C=C(C=N1)C1N=CN=C2NC=CC=12,"InChI=1S/C17H18N6/c18-7-5-15(12-3-1-2-4-12)23-10-13(9-22-23)16-14-6-8-19-17(14)21-11-20-16/h6,8-12,15H,1-5H2,(H,19,20,21)",HFNKQEVNSGCOJV-UHFFFAOYSA-N,<undefined>,0,High,-4.6675615,3,Wang,1,1,N,N,Y,Y,N,N&N&Y&Y&N
2697,Caco-1372,?,?,NA,COC1C=CC(Cl)=CC=1C(=O)NCCC1C=CC(=CC=1)S(=O)(=O)NC(=O)NC1CCCCC1,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",ZNNLBTZKUZBEKO-UHFFFAOYSA-N,DTXSID0037237,10238-21-8,Glybenclamide,COC1C=CC(Cl)=CC=1C(=O)NCCC1C=CC(=CC=1)S(=O)(=O)NC(=O)NC1CCCCC1,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",ZNNLBTZKUZBEKO-UHFFFAOYSA-N,<undefined>,0,High,-4.6655464,3,Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2701,Caco-4475,CHEMBL23|?,?,NA,CN(C)CCN1C(=O)[C@H](OC(C)=O)[C@@H](SC2=CC=CC=C12)C1C=CC(=CC=1)OC,"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/t20-,21+/m1/s1",HSUGRBWQSSZJOP-RTWAWAEBSA-N,DTXSID9022940|DTXSID50881104,42399-41-7|34933-06-7,(+)-Diltiazem,CN(C)CCN1C(=O)C(OC(C)=O)C(SC2=CC=CC=C12)C1C=CC(=CC=1)OC,"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3",HSUGRBWQSSZJOP-UHFFFAOYSA-N,<undefined>,0,High,-4.663999677,3,CHEMBL|Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
2705,Caco-6029,?,?,NA,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,"InChI=1S/C12H24N2O4/c1-5-6-12(4,7-17-10(13)15)8-18-11(16)14-9(2)3/h9H,5-8H2,1-4H3,(H2,13,15)(H,14,16)",OFZCIYFFPZCNJE-UHFFFAOYSA-N,DTXSID8024733,78-44-4,carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,"InChI=1S/C12H24N2O4/c1-5-6-12(4,7-17-10(13)15)8-18-11(16)14-9(2)3/h9H,5-8H2,1-4H3,(H2,13,15)(H,14,16)",OFZCIYFFPZCNJE-UHFFFAOYSA-N,<undefined>,NA,Low,-4.66,3,Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2706,Caco-6233,?,?,NA,CC1=CC2=C(C=C1C)N=C1C(=NC(=O)NC1=O)N2C[C@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",AUNGANRZJHBGPY-SCRDCRAPSA-N,DTXSID8021777,83-88-5,riboflavin,CC1=CC2=C(C=C1C)N=C1C(=NC(=O)NC1=O)N2CC(O)C(O)C(O)CO,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)",AUNGANRZJHBGPY-UHFFFAOYSA-N,<undefined>,NA,Low,-4.66,3,Pham,1,1,N,Y,Y,Y,Y,N&Y&Y&Y&Y
2708,Caco-1122,?,?,NA,CCC(=O)C(CC(C)N(C)C)(C1C=CC=CC=1)C1C=CC=CC=1,"InChI=1S/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3",USSIQXCVUWKGNF-UHFFFAOYSA-N,DTXSID7023273,76-99-3,methadone,CCC(=O)C(CC(C)N(C)C)(C1C=CC=CC=1)C1C=CC=CC=1,"InChI=1S/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3",USSIQXCVUWKGNF-UHFFFAOYSA-N,<undefined>,0,High,-4.6599998,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2715,Caco-407,?,?,NA,CC(O)(CS(=O)(=O)C1C=CC(F)=CC=1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,"InChI=1S/C18H14F4N2O4S/c1-17(26,10-29(27,28)14-6-3-12(19)4-7-14)16(25)24-13-5-2-11(9-23)15(8-13)18(20,21)22/h2-8,26H,10H2,1H3,(H,24,25)",LKJPYSCBVHEWIU-UHFFFAOYSA-N,DTXSID2022678,90357-06-5,bicalutamide,CC(O)(CS(=O)(=O)C1C=CC(F)=CC=1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,"InChI=1S/C18H14F4N2O4S/c1-17(26,10-29(27,28)14-6-3-12(19)4-7-14)16(25)24-13-5-2-11(9-23)15(8-13)18(20,21)22/h2-8,26H,10H2,1H3,(H,24,25)",LKJPYSCBVHEWIU-UHFFFAOYSA-N,<undefined>,0,High,-4.65878865,3,Wang,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
2736,Caco-1395,?,?,NA,NC12CC3CC(C1)CC(C2)C3,"InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2",DKNWSYNQZKUICI-UHFFFAOYSA-N,DTXSID8022117,768-94-5,amantadine,NC12CC3CC(C1)CC(C2)C3,"InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2",DKNWSYNQZKUICI-UHFFFAOYSA-N,<undefined>,0,High,-4.65378875,3,Wang|Pham,1,1,Y,Y,Y,Y,Y,Y&Y&Y&Y&Y
2742,Caco-236,?,?,NA,CN(CCCC(C#N)(C(C)C)C1C=C(OC)C(=CC=1)OC)CCC1C=C(OC)C(=CC=1)OC,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3",SGTNSNPWRIOYBX-UHFFFAOYSA-N,DTXSID9041152,52-53-9,verapamil,CN(CCCC(C#N)(C(C)C)C1C=C(OC)C(=CC=1)OC)CCC1C=C(OC)C(=CC=1)OC,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3",SGTNSNPWRIOYBX-UHFFFAOYSA-N,<undefined>,0,High,-4.6443567,3,Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2747,Caco-6090,?,?,NA,CCC1(CC(O)=O)OCCC2C3C=CC=C(CC)C=3NC1=2,"InChI=1S/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)",NNYBQONXHNTVIJ-UHFFFAOYSA-N,DTXSID9020615,41340-25-4,etodolac,CCC1(CC(O)=O)OCCC2C3C=CC=C(CC)C=3NC1=2,"InChI=1S/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)",NNYBQONXHNTVIJ-UHFFFAOYSA-N,<undefined>,NA,Low,-4.64,3,Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
2771,Caco-701,?,?,NA,COC1=CC2OC(=CC(=O)C=2C(=C1)OC)C1C=CC=CC=1,"InChI=1S/C17H14O4/c1-19-12-8-15(20-2)17-13(18)10-14(21-16(17)9-12)11-6-4-3-5-7-11/h3-10H,1-2H3",JRFZSUMZAUHNSL-UHFFFAOYSA-N,DTXSID50175656,21392-57-4,"5,7-dimethoxyflavone",COC1=CC2OC(=CC(=O)C=2C(=C1)OC)C1C=CC=CC=1,"InChI=1S/C17H14O4/c1-19-12-8-15(20-2)17-13(18)10-14(21-16(17)9-12)11-6-4-3-5-7-11/h3-10H,1-2H3",JRFZSUMZAUHNSL-UHFFFAOYSA-N,<undefined>,0,High,-4.6313224,3,Wang,1,1,N,N,N,Y,N,N&N&N&Y&N
2772,Caco-245,?,?,NA,COC1C2OC(=CC(=O)C=2C(O)=CC=1O)C1C=CC=CC=1,"InChI=1S/C16H12O5/c1-20-15-12(19)7-10(17)14-11(18)8-13(21-16(14)15)9-5-3-2-4-6-9/h2-8,17,19H,1H3",XLTFNNCXVBYBSX-UHFFFAOYSA-N,DTXSID70212557,632-85-9,wogonin,COC1C2OC(=CC(=O)C=2C(O)=CC=1O)C1C=CC=CC=1,"InChI=1S/C16H12O5/c1-20-15-12(19)7-10(17)14-11(18)8-13(21-16(14)15)9-5-3-2-4-6-9/h2-8,17,19H,1H3",XLTFNNCXVBYBSX-UHFFFAOYSA-N,<undefined>,0,High,-4.63112805,3,Wang,1,1,N,N,N,Y,N,N&N&N&Y&N
2776,Caco-108,?,?,NA,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NO,"InChI=1S/C13H19NO2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(15)14-16/h4-7,9-10,16H,8H2,1-3H3,(H,14,15)",BYPIURIATSUHDW-UHFFFAOYSA-N,DTXSID30866353,53648-05-8,ibuproxam,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NO,"InChI=1S/C13H19NO2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(15)14-16/h4-7,9-10,16H,8H2,1-3H3,(H,14,15)",BYPIURIATSUHDW-UHFFFAOYSA-N,<undefined>,0,High,-4.6300001,3,Wang|Pham,1,1,Y,N,Y,N,N,Y&N&Y&N&N
